11.72|17.37|17.11|13.89|
11.74|17.33|17.10|13.95|
11.75|17.27|17.08|14.03|
11.77|17.20|17.07|14.10|
11.76|17.12|17.08|14.14|
11.76|17.08|17.09|14.16|
11.78|17.07|17.07|14.16|
11.81|17.09|17.02|14.16|
11.87|17.13|16.93|14.14|
11.94|17.21|16.81|14.10|
12.02|17.32|16.66|14.04|
12.09|17.44|16.52|13.96|
12.14|17.57|16.42|13.87|
12.17|17.72|16.34|13.79|
12.19|17.84|16.28|13.76|
12.18|17.87|16.27|13.79|
12.15|17.84|16.31|13.86|
12.08|17.74|16.41|13.94|
11.95|17.57|16.63|14.02|
11.80|17.40|16.88|14.07|
11.67|17.26|17.09|14.10|
11.57|17.15|17.26|14.12|
11.53|17.08|17.36|14.10|
11.52|17.05|17.40|13.97|
11.55|17.12|17.39|13.77|
11.60|17.30|17.35|13.57|
11.65|17.50|17.32|13.40|
11.71|17.68|17.27|13.27|
11.78|17.84|17.18|13.22|
11.80|17.90|17.14|13.28|
11.77|17.85|17.17|13.38|
11.68|17.70|17.30|13.46|
11.53|17.53|17.53|13.55|
11.30|17.31|17.87|13.72|
11.04|17.01|18.29|13.92|
10.78|16.65|18.72|14.07|
10.57|16.35|19.08|14.14|
10.44|16.15|19.34|14.10|
10.39|16.10|19.45|13.95|
10.46|16.29|19.41|13.70|
10.56|16.56|19.27|13.46|
10.66|16.80|19.09|13.28|
10.72|16.98|18.96|13.15|
10.79|17.17|18.89|13.03|
10.94|17.39|18.71|12.93|
11.10|17.60|18.44|12.86|
11.25|17.77|18.17|12.87|
11.34|17.83|17.95|12.97|
11.32|17.76|17.88|13.13|
11.19|17.50|18.09|13.35|
11.02|17.18|18.39|13.56|
10.85|16.91|18.72|13.71|
10.76|16.75|18.91|13.81|
10.70|16.60|18.95|13.92|
10.61|16.42|19.03|14.06|
10.48|16.20|19.21|14.19|
10.34|16.01|19.40|14.28|
10.24|15.89|19.53|14.34|
10.25|15.86|19.52|14.37|
10.38|15.90|19.27|14.38|
10.54|16.01|18.96|14.35|
10.66|16.13|18.71|14.33|
10.73|16.21|18.60|14.33|
10.76|16.26|18.57|14.33|
10.80|16.31|18.51|14.33|
10.85|16.36|18.40|14.32|
10.88|16.42|18.33|14.30|
10.87|16.44|18.38|14.28|
10.80|16.44|18.51|14.26|
10.69|16.42|18.69|14.25|
10.59|16.38|18.85|14.26|
10.57|16.35|18.93|14.29|
10.60|16.33|18.88|14.33|
10.62|16.30|18.84|14.34|
10.59|16.26|18.87|14.34|
10.58|16.24|18.87|14.36|
10.64|16.24|18.79|14.42|
10.70|16.22|18.69|14.51|
10.71|16.14|18.68|14.61|
10.68|16.03|18.74|14.72|
10.62|15.90|18.82|14.83|
10.58|15.76|18.87|14.95|
10.55|15.61|18.90|15.08|
10.55|15.49|18.90|15.24|
10.56|15.36|18.89|15.41|
10.49|15.20|18.98|15.54|
10.34|15.01|19.20|15.65|
10.19|14.84|19.42|15.74|
10.06|14.70|19.60|15.85|
9.94|14.55|19.74|15.97|
9.82|14.41|19.87|16.05|
9.70|14.30|20.02|16.12|
9.61|14.23|20.10|16.16|
9.58|14.19|20.12|16.17|
9.55|14.18|20.14|16.16|
9.56|14.20|20.12|16.16|
9.60|14.22|20.06|16.17|
9.66|14.23|19.96|16.18|
9.76|14.27|19.79|16.16|
9.90|14.36|19.58|16.13|
10.04|14.44|19.39|16.10|
10.19|14.52|19.20|16.06|
10.35|14.60|19.07|16.01|
10.50|14.70|18.90|15.95|
10.67|14.82|18.67|15.89|
10.81|14.94|18.46|15.82|
10.92|15.06|18.29|15.73|
11.02|15.18|18.16|15.64|
11.11|15.30|18.06|15.54|
11.18|15.43|17.96|15.45|
11.25|15.55|17.86|15.35|
11.33|15.69|17.75|15.26|
11.39|15.82|17.63|15.18|
11.40|15.91|17.56|15.13|
11.42|15.97|17.53|15.11|
11.44|16.01|17.50|15.11|
11.43|16.01|17.48|15.16|
